Count,Metric,500MHz,600MHz,700MHz,1000MHz,1500MHz
1,"Clock Period (ps)","2000","1667","1429","1000","667"
2,"Top Module","tpu","tpu","tpu","tpu","tpu"
3,"RTL Files","17","17","17","17","17"
4,"Total Cells","86102","86102","86102","86102","86102"
5,"Combinational Cells","83062","83062","83062","83062","83062"
6,"Sequential Cells","3040","3040","3040","3040","3040"
7,"DFF Count","3040","3040","3040","3040","3040"
8,"Sequential Cell %","3.53%","3.53%","3.53%","3.53%","3.53%"
9,"Sequential Area (%)","11.68%","11.68%","11.68%","11.68%","11.68%"
10,"Chip Area (um2)","9793.108980","9793.108980","9793.108980","9793.108980","9793.108980"
11,"Worst Slack","1056.59","723.59","485.59","56.59","-276.75"
12,"WNS (ps)","0.00","0.00","0.00","0.00","-276.75"
13,"TNS (ps)","0.00","0.00","0.00","0.00","-17553.85"
14,"FEP","⚠️Input Manually","⚠️Input Manually","⚠️Input Manually","⚠️Input Manually","⚠️Input Manually"
15,"Minimum Period (ps)","943.41","943.41","943.41","943.41","943.41"
16,"Estimated Fmax (MHz)","1059.99","1059.99","1059.99","1059.99","1059.99"
17,"Path Groups  (⚠️DCheck)","clk","clk","clk","clk","clk"
18,"Number of Path Groups (⚠️DCheck)","1","1","1","1","1"
19,"Most Critical Path Group","clk","clk","clk","clk","clk"
20,"Number of Max Paths","2","2","2","2","2"
21,"Start Point","systolic_inst.pe21.pe_psum_out[8]$_SDFFCE_PN0P_","systolic_inst.pe21.pe_psum_out[8]$_SDFFCE_PN0P_","systolic_inst.pe21.pe_psum_out[8]$_SDFFCE_PN0P_","systolic_inst.pe21.pe_psum_out[8]$_SDFFCE_PN0P_","systolic_inst.pe21.pe_psum_out[8]$_SDFFCE_PN0P_"
22,"End Point","ub_inst.gradient_descent_inst_0.value_updated_out[10]$_DFF_PP0_","ub_inst.gradient_descent_inst_0.value_updated_out[10]$_DFF_PP0_","ub_inst.gradient_descent_inst_0.value_updated_out[10]$_DFF_PP0_","ub_inst.gradient_descent_inst_0.value_updated_out[10]$_DFF_PP0_","ub_inst.gradient_descent_inst_0.value_updated_out[10]$_DFF_PP0_"
23,"Critical Path Logic Depth","⚠️Input Manually","⚠️Input Manually","⚠️Input Manually","⚠️Input Manually","⚠️Input Manually"
24,"Largest Cell Type (⚠️DCheck)","HAxp5_ASAP7_75t_R","HAxp5_ASAP7_75t_R","HAxp5_ASAP7_75t_R","HAxp5_ASAP7_75t_R","HAxp5_ASAP7_75t_R"
25,"Largest Cell Delay (ps) (⚠️DCheck)","67.65","67.65","67.65","67.65","67.65"
26,"Data Arrival Time (ps)","927.96","927.96","927.96","927.96","927.96"
27,"Setup Time (ps)","15.44","15.44","15.44","15.44","15.44"
28,"VT Type","RVT","RVT","RVT","RVT","RVT"
29,"RVT Percentage","100%","100%","100%","100%","100%"
30,"Internal Power (W)","1.68e-02","2.02e-02","2.35e-02","3.36e-02","4.96e-02"
31,"Switching Power (W)","1.25e-02","1.49e-02","1.74e-02","2.49e-02","3.67e-02"
32,"Leakage Power (W)","7.25e-06","7.25e-06","7.25e-06","7.25e-06","7.25e-06"
33,"Total Power (W)","2.93e-02","3.51e-02","4.10e-02","5.84e-02","8.62e-02"
34,"Sequential Contribution (%)","13.7%","13.7%","13.7%","13.7%","13.9%"
35,"Combinational Contribution (%)","86.3%","86.3%","86.3%","86.3%","86.1%"
36,"Buffer Count","12781","12781","12781","12781","12781"
37,"Inverter Count","6937","6937","6937","6937","6937"
38,"Arithmetic Cell Count","3864","3864","3864","3864","3864"
39,"Average Cell Area","0.1137","0.1137","0.1137","0.1137","0.1137"
40,"Power Density","2.99189972e-06","3.58415291e-06","4.18661735e-06","5.96337691e-06","8.80210770e-06"
41,"Elapsed Time (Min:Sec)","4:20.77","4:03.33","4:22.62","4:36.18","5:22.13"
42,"Peak Memory Usage (MB)","602.30","604.15","597.39","601.99","602.18"
